Date,Time,Currency,Event,Impact_Level,Actual,Forecast,Previous
2025-01-02,15:00,EUR,Spanish Manufacturing PMI,ORANGE,53.3,53.6,53.1
2025-01-02,15:15,EUR,Italian Manufacturing PMI,ORANGE,46.2,44.9,44.5
2025-01-02,15:50,EUR,French Final Manufacturing PMI,ORANGE,41.9,41.9,41.9
2025-01-02,15:55,EUR,German Final Manufacturing PMI,ORANGE,42.5,42.5,42.5
2025-01-02,16:00,EUR,Final Manufacturing PMI,ORANGE,45.1,45.2,45.2
2025-01-02,16:00,EUR,M3 Money Supply y/y,ORANGE,3.8%,3.5%,3.4%
2025-01-02,16:00,EUR,Private Loans y/y,ORANGE,0.9%,0.9%,0.8%
2025-01-03,15:00,EUR,Spanish Unemployment Change,ORANGE,-25.3K,-46.5K,-16.0K
2025-01-03,18:00,EUR,Core CPI Flash Estimate y/y,RED,2.7%,2.6%,2.7%
2025-01-03,18:00,EUR,CPI Flash Estimate y/y,RED,2.5%,2.4%,2.4%
2025-01-06,16:00,EUR,Sentix Investor Confidence,ORANGE,-17.7,-17.7,-17.5
2025-01-06,15:55,EUR,German Final Services PMI,ORANGE,51.2,51.0,51.0
2025-01-06,16:00,EUR,Final Services PMI,ORANGE,51.6,51.4,51.4
2025-01-06,15:45,EUR,Italian Services PMI,ORANGE,50.7,50.0,49.2
2025-01-06,15:15,EUR,Spanish Services PMI,ORANGE,57.3,54.1,53.1
2025-01-06,15:50,EUR,French Final Services PMI,ORANGE,49.3,48.2,48.2
2025-01-07,14:45,EUR,French Gov Budget Balance,ORANGE,,,
2025-01-07,16:00,EUR,Italian Monthly Unemployment Rate,ORANGE,5.7%,5.8%,5.8%
2025-01-07,17:00,EUR,Core CPI Flash Estimate y/y,RED,2.7%,2.7%,2.7%
2025-01-07,17:00,EUR,CPI Flash Estimate y/y,RED,2.4%,2.4%,2.2%
2025-01-07,17:00,EUR,Italian Prelim CPI m/m,ORANGE,0.1%,0.3%,0.0%
2025-01-07,17:00,EUR,Unemployment Rate,ORANGE,6.3%,6.3%,6.3%
2025-01-08,14:00,EUR,German Factory Orders m/m,RED,-5.4%,-0.3%,-1.5%
2025-01-08,14:00,EUR,German Retail Sales m/m,ORANGE,-0.6%,0.5%,-0.3%
2025-01-08,14:45,EUR,French Trade Balance,ORANGE,-7.1B,-7.0B,-7.5B
2025-01-08,17:00,EUR,PPI m/m,ORANGE,1.6%,1.5%,0.4%
2025-01-08,17:38,EUR,German 10-y Bond Auction,ORANGE,2.51|2.1,,2.07|2.4
2025-01-09,17:00,EUR,Retail Sales m/m,ORANGE,0.1%,0.3%,-0.3%
2025-01-09,16:59,EUR,French 10-y Bond Auction,ORANGE,3.40|2.0,,3.24|2.0
2025-01-09,14:00,EUR,German Trade Balance,RED,19.7B,14.7B,13.4B
2025-01-09,14:00,EUR,German Industrial Production m/m,RED,1.5%,0.5%,-0.4%
2025-01-09,16:00,EUR,ECB Economic Bulletin,ORANGE,,,
2025-01-10,15:00,EUR,German WPI m/m,ORANGE,0.9%,0.2%,0.1%
2025-01-10,18:00,EUR,Flash Employment Change q/q,RED,0.1%,0.1%,0.2%
2025-01-10,18:00,EUR,Flash GDP q/q,RED,0.1%,0.0%,0.0%
2025-01-13,17:00,EUR,German ifo Business Climate,RED,85.2,85.9,85.2
2025-01-13,18:00,EUR,Final Core CPI y/y,RED,2.7%,2.7%,2.7%
2025-01-13,18:00,EUR,Final CPI y/y,RED,2.5%,2.5%,2.5%
2025-01-14,16:00,EUR,German ZEW Economic Sentiment,RED,26.0,19.9,10.3
2025-01-14,16:00,EUR,ZEW Economic Sentiment,RED,24.2,24.3,18.0
2025-01-15,14:00,EUR,German GfK Consumer Climate,RED,-24.7,-21.7,-22.6
2025-01-16,17:00,EUR,Private Loans y/y,ORANGE,1.3%,1.2%,1.1%
2025-01-16,18:22,EUR,Italian 10-y Bond Auction,ORANGE,3.55|1.6,,3.60|1.8
2025-01-16,15:00,EUR,Spanish 10-y Bond Auction,ORANGE,,,
2025-01-16,17:00,EUR,M3 Money Supply y/y,ORANGE,3.6%,3.8%,3.4%
2025-01-17,14:00,EUR,German Import Prices m/m,ORANGE,1.1%,0.7%,0.4%
2025-01-17,14:00,EUR,German Retail Sales m/m,ORANGE,0.2%,0.4%,-0.9%
2025-01-17,18:00,EUR,Italian Prelim CPI m/m,ORANGE,0.2%,0.2%,0.6%
2025-01-20,All Day,EUR,German Prelim CPI m/m,RED,0.4%,0.4%,-0.2%
2025-01-21,14:00,EUR,German ZEW Economic Sentiment,RED,26.0,19.9,10.3
2025-01-21,14:00,EUR,ZEW Economic Sentiment,RED,24.2,24.3,18.0
2025-01-22,15:00,EUR,German GfK Consumer Climate,RED,-24.7,-21.7,-22.6
2025-01-23,17:00,EUR,Private Loans y/y,ORANGE,1.3%,1.2%,1.1%
2025-01-23,18:22,EUR,Italian 10-y Bond Auction,ORANGE,3.55|1.6,,3.60|1.8
2025-01-23,15:00,EUR,Spanish 10-y Bond Auction,ORANGE,,,
2025-01-23,17:00,EUR,M3 Money Supply y/y,ORANGE,3.6%,3.8%,3.4%
2025-01-24,14:00,EUR,German Retail Sales m/m,ORANGE,0.2%,0.4%,-0.9%
2025-01-24,18:00,EUR,Italian Prelim CPI m/m,ORANGE,0.2%,0.2%,0.6%
2025-01-24,14:00,EUR,German Import Prices m/m,ORANGE,1.1%,0.7%,0.4%
2025-01-27,All Day,EUR,German Prelim CPI m/m,RED,0.4%,0.4%,-0.2%
2025-01-28,14:00,EUR,German GfK Consumer Climate,RED,-24.7,-21.7,-22.6
2025-01-29,15:00,EUR,Spanish 10-y Bond Auction,ORANGE,,,
2025-01-29,17:00,EUR,M3 Money Supply y/y,ORANGE,3.6%,3.8%,3.4%
2025-01-29,17:00,EUR,Private Loans y/y,ORANGE,1.3%,1.2%,1.1%
2025-01-29,18:22,EUR,Italian 10-y Bond Auction,ORANGE,3.55|1.6,,3.60|1.8
2025-01-30,14:00,EUR,German Import Prices m/m,ORANGE,1.1%,0.7%,0.4%
2025-01-30,14:00,EUR,German Retail Sales m/m,ORANGE,0.2%,0.4%,-0.9%
2025-01-30,18:00,EUR,Italian Prelim CPI m/m,ORANGE,0.2%,0.2%,0.6%
2025-01-31,All Day,EUR,German Prelim CPI m/m,RED,0.4%,0.4%,-0.2%
2025-02-03,16:00,EUR,CPI Flash Estimate y/y,RED,2.5%,2.4%,2.4%
2025-02-03,16:00,EUR,Core CPI Flash Estimate y/y,RED,2.7%,2.6%,2.7%
2025-02-03,16:00,EUR,Final Manufacturing PMI,ORANGE,46.6,46.1,46.1
2025-02-03,15:45,EUR,Italian Manufacturing PMI,ORANGE,46.3,46.8,46.2
2025-02-03,15:50,EUR,French Final Manufacturing PMI,ORANGE,45.0,45.3,45.3
2025-02-03,15:15,EUR,Spanish Manufacturing PMI,ORANGE,50.9,53.5,53.3
2025-02-03,15:55,EUR,German Final Manufacturing PMI,ORANGE,45.0,44.1,44.1
2025-02-04,16:00,EUR,Italian Monthly Unemployment Rate,ORANGE,6.3%,6.2%,6.4%
2025-02-04,14:45,EUR,French Gov Budget Balance,ORANGE,,,
2025-02-04,15:00,EUR,Spanish Unemployment Change,ORANGE,38.7K,55.4K,-25.3K
2025-02-04,17:00,EUR,Unemployment Rate,ORANGE,6.2%,6.3%,6.2%
2025-02-05,18:00,EUR,PPI m/m,ORANGE,0.4%,0.5%,1.7%
2025-02-05,16:00,EUR,Italian Retail Sales m/m,ORANGE,0.6%,0.1%,-0.4%
2025-02-05,15:55,EUR,German Final Services PMI,ORANGE,52.5,52.5,52.5
2025-02-05,16:00,EUR,Final Services PMI,ORANGE,51.3,51.4,51.4
2025-02-05,15:45,EUR,Italian Services PMI,ORANGE,50.4,50.5,50.7
2025-02-05,15:15,EUR,Spanish Services PMI,ORANGE,54.9,56.7,57.3
2025-02-05,14:45,EUR,French Industrial Production m/m,ORANGE,-0.4%,-0.1%,0.1%
2025-02-05,15:50,EUR,French Final Services PMI,ORANGE,48.2,48.9,48.9
2025-02-06,15:00,EUR,German Factory Orders m/m,RED,6.9%,1.9%,-5.2%
2025-02-06,17:00,EUR,Retail Sales m/m,ORANGE,-0.2%,-0.1%,0.0%
2025-02-06,18:15,EUR,Main Refinancing Rate,RED,2.65%,2.65%,2.90%
2025-02-06,18:15,EUR,Monetary Policy Statement,RED,,,
2025-02-06,18:45,EUR,ECB Press Conference,RED,,,
2025-02-07,17:00,EUR,Revised GDP q/q,RED,0.2%,0.1%,0.1%
2025-02-07,16:30,EUR,ECB President Lagarde Speaks,RED,,,
2025-02-07,14:45,EUR,French Trade Balance,ORANGE,-3.9B,-5.3B,-6.3B
2025-02-07,17:00,EUR,Final Employment Change q/q,RED,0.1%,0.1%,0.1%
2025-02-07,14:00,EUR,German Trade Balance,RED,20.7B,17.0B,19.2B
2025-02-07,14:00,EUR,German Industrial Production m/m,RED,-2.4%,-0.7%,1.3%
2025-02-07,14:45,EUR,French Prelim Private Payrolls q/q,ORANGE,-0.2%,-0.1%,0.1%
2025-02-10,17:00,EUR,German ifo Business Climate,RED,85.2,85.9,85.2
2025-02-10,18:00,EUR,Final Core CPI y/y,RED,2.7%,2.7%,2.7%
2025-02-10,18:00,EUR,Final CPI y/y,RED,2.5%,2.5%,2.5%
2025-02-11,15:00,EUR,Italian Industrial Production m/m,ORANGE,-3.1%,-0.1%,0.3%
2025-02-11,18:37,EUR,German 30-y Bond Auction,ORANGE,2.70|2.5,,2.84|2.8
2025-02-12,18:00,EUR,Industrial Production m/m,ORANGE,-1.1%,-0.6%,0.4%
2025-02-12,14:00,EUR,German Final CPI m/m,ORANGE,-0.2%,-0.2%,-0.2%
2025-02-12,17:00,EUR,ECB Economic Bulletin,ORANGE,,,
2025-02-13,15:00,EUR,German WPI m/m,ORANGE,0.9%,0.2%,0.1%
2025-02-13,18:00,EUR,Flash Employment Change q/q,RED,0.1%,0.1%,0.2%
2025-02-13,18:00,EUR,Flash GDP q/q,RED,0.1%,0.0%,0.0%
2025-02-14,18:00,EUR,Final Core CPI y/y,RED,2.7%,2.7%,2.7%
2025-02-14,17:00,EUR,German ifo Business Climate,RED,85.2,85.9,85.2
2025-02-14,18:00,EUR,Final CPI y/y,RED,2.5%,2.5%,2.5%
2025-02-17,17:00,EUR,ZEW Economic Sentiment,RED,24.2,24.3,18.0
2025-02-17,17:00,EUR,German ZEW Economic Sentiment,RED,26.0,19.9,10.3
2025-02-18,17:00,EUR,Current Account,ORANGE,38.4B,30.2B,25.1B
2025-02-18,15:00,EUR,German PPI m/m,ORANGE,-0.1%,0.6%,-0.1%
2025-02-18,15:00,EUR,German Factory Orders m/m,RED,-7.0%,-2.4%,5.9%
2025-02-19,14:00,EUR,German Industrial Production m/m,RED,1.5%,0.5%,-0.4%
2025-02-19,14:00,EUR,German Trade Balance,RED,19.7B,14.7B,13.4B
2025-02-19,16:00,EUR,ECB Economic Bulletin,ORANGE,,,
2025-02-19,16:59,EUR,French 10-y Bond Auction,ORANGE,3.40|2.0,,3.24|2.0
2025-02-19,17:00,EUR,Retail Sales m/m,ORANGE,0.1%,0.3%,-0.3%
2025-02-20,17:00,EUR,Flash Manufacturing PMI,ORANGE,47.3,46.9,46.6
2025-02-20,16:00,EUR,German Flash Services PMI,ORANGE,52.2,52.4,52.5
2025-02-20,16:00,EUR,German Flash Manufacturing PMI,ORANGE,46.1,45.4,45.0
2025-02-20,17:00,EUR,Flash Services PMI,ORANGE,50.7,51.5,51.3
2025-02-20,15:45,EUR,French Flash Manufacturing PMI,ORANGE,45.5,45.3,45.0
2025-02-20,15:00,EUR,German WPI m/m,ORANGE,0.9%,0.2%,0.1%
2025-02-20,15:45,EUR,French Flash Services PMI,ORANGE,44.5,48.8,48.2
2025-02-21,17:00,EUR,German ifo Business Climate,RED,85.2,85.9,85.2
2025-02-21,18:00,EUR,Final Core CPI y/y,RED,2.7%,2.7%,2.7%
2025-02-21,18:00,EUR,Final CPI y/y,RED,2.5%,2.5%,2.5%
2025-02-24,17:00,EUR,German ZEW Economic Sentiment,RED,26.0,19.9,10.3
2025-02-24,17:00,EUR,ZEW Economic Sentiment,RED,24.2,24.3,18.0
2025-02-26,15:00,EUR,German GfK Consumer Climate,RED,-24.7,-21.7,-22.6
2025-02-26,17:00,EUR,M3 Money Supply y/y,ORANGE,3.6%,3.8%,3.4%
2025-02-26,17:00,EUR,Private Loans y/y,ORANGE,1.3%,1.2%,1.1%
2025-02-26,18:22,EUR,Italian 10-y Bond Auction,ORANGE,3.55|1.6,,3.60|1.8
2025-02-27,15:00,EUR,Spanish Flash CPI y/y,ORANGE,3.0%,3.0%,2.9%
2025-02-27,18:00,EUR,Italian Prelim CPI m/m,ORANGE,0.2%,0.2%,0.6%
2025-02-27,16:00,EUR,KOF Economic Barometer,ORANGE,101.7,101.9,103.0
2025-02-27,14:45,EUR,French Prelim GDP q/q,ORANGE,-0.1%,-0.1%,-0.1%
2025-02-27,16:55,EUR,German Unemployment Change,RED,5K,14K,11K
2025-02-27,14:45,EUR,French Consumer Spending m/m,ORANGE,-0.5%,-0.6%,0.7%
2025-02-27,14:00,EUR,German Retail Sales m/m,ORANGE,0.2%,0.4%,-0.9%
2025-02-27,14:45,EUR,French Prelim CPI m/m,ORANGE,0.0%,0.5%,0.2%
2025-02-27,14:00,EUR,German Import Prices m/m,ORANGE,1.1%,0.7%,0.4%
2025-02-28,All Day,EUR,German Prelim CPI m/m,RED,0.4%,0.4%,-0.2%
2025-03-03,15:15,EUR,Spanish Manufacturing PMI,ORANGE,49.7,51.3,50.9
2025-03-03,15:45,EUR,Italian Manufacturing PMI,ORANGE,47.4,46.6,46.3
2025-03-03,15:50,EUR,French Final Manufacturing PMI,ORANGE,45.8,45.5,45.5
2025-03-03,15:55,EUR,German Final Manufacturing PMI,ORANGE,46.5,46.1,46.1
2025-03-03,16:00,EUR,Final Manufacturing PMI,ORANGE,47.6,47.3,47.3
2025-03-03,16:00,EUR,Core CPI Flash Estimate y/y,RED,2.6%,2.5%,2.7%
2025-03-03,16:00,EUR,CPI Flash Estimate y/y,RED,2.4%,2.3%,2.5%
2025-03-04,16:00,EUR,Italian Monthly Unemployment Rate,ORANGE,6.3%,6.2%,6.4%
2025-03-04,17:00,EUR,Unemployment Rate,ORANGE,6.2%,6.3%,6.2%
2025-03-04,14:45,EUR,French Gov Budget Balance,ORANGE,,,
2025-03-04,15:00,EUR,Spanish Unemployment Change,ORANGE,-6.0K,45.2K,38.7K
2025-03-05,18:00,EUR,PPI m/m,ORANGE,0.8%,0.3%,0.5%
2025-03-05,16:00,EUR,Final Services PMI,ORANGE,50.6,50.7,50.7
2025-03-05,15:55,EUR,German Final Services PMI,ORANGE,51.1,52.2,52.2
2025-03-05,16:00,EUR,Italian Retail Sales m/m,ORANGE,-0.4%,0.3%,0.6%
2025-03-05,15:45,EUR,Italian Services PMI,ORANGE,53.0,50.9,50.4
2025-03-05,15:15,EUR,Spanish Services PMI,ORANGE,56.2,55.4,54.9
